ID,Treatment,NO,Nvalue,Value,LPS,HCA,Day,log_value
1,VLPS_VHCA,2.834541509,2.83,119.23,0,0,1,1.342864803
2,VLPS_VHCA,1.693253294,1.69,71.22,0,0,1,0.989541194
3,VLPS_VHCA,2.604525333,2.6,109.55,0,0,1,1.280933845
4,LPS_VHCA,9.100703106,9.1,382.79,1,0,1,2.312535424
5,LPS_VHCA,7.545744208,7.55,317.39,1,0,1,2.145931283
6,LPS_VHCA,7.700292248,7.7,323.89,1,0,1,2.163323026
7,VLPS_HCA,1.951857116,1.95,82.1,0,1,1,1.08180517
8,VLPS_HCA,1.671790808,1.67,70.32,0,1,1,0.982078472
9,VLPS_HCA,2.793305977,2.79,117.49,0,1,1,1.332366019
10,LPS_HCA,9.291874141,9.29,390.84,1,1,1,2.33117255
11,LPS_HCA,8.610458234,8.61,362.17,1,1,1,2.262804223
12,LPS_HCA,8.989088742,8.99,378.1,1,1,1,2.301584593
13,VLPS_VHCA,1.332600886,1.33,89.89,0,0,2,0.845868268
14,VLPS_VHCA,1.63244182,1.63,110.11,0,0,2,0.966983846
15,VLPS_VHCA,,0,0,0,0,2,0
16,LPS_VHCA,11.8205182,11.82,797.33,1,0,2,2.551006451
17,LPS_VHCA,9.904971911,9.9,668.12,1,0,2,2.388762789
18,LPS_VHCA,12.65469056,12.65,853.59,1,0,2,2.613739522
19,VLPS_HCA,1.479558838,1.48,99.8,0,1,2,0.90825856
20,VLPS_HCA,,0,0,0,1,2,0
21,VLPS_HCA,4.047267859,4.05,273,0,1,2,1.619388243
22,LPS_HCA,18.06876028,18.07,1218.79,1,1,2,2.94811642
23,LPS_HCA,22.48000837,22.48,1516.34,1,1,2,3.156148995
24,LPS_HCA,20.95696497,20.96,1413.6,1,1,2,3.089222617
25,VLPS_VHCA,1.776778153,1.78,121.55,0,0,3,1.022450928
26,VLPS_VHCA,1.037978719,1.04,71.01,0,0,3,0.712949808
27,VLPS_VHCA,1.570440567,1.57,107.44,0,0,3,0.943905899
28,LPS_VHCA,15.78466728,15.78,1079.86,1,0,3,2.820187701
29,LPS_VHCA,12.12539329,12.13,829.52,1,0,3,2.574899688
30,LPS_VHCA,13.17237835,13.17,901.15,1,0,3,2.651127054
31,VLPS_HCA,0.718981534,0.72,49.19,0,1,3,0.542324291
32,VLPS_HCA,0.231566932,0.23,15.84,0,1,3,0.207014169
33,VLPS_HCA,1.889585454,1.89,129.27,0,1,3,1.061256502
34,LPS_HCA,11.34786515,11.35,776.33,1,1,3,2.513656063
35,LPS_HCA,11.75882018,11.76,804.44,1,1,3,2.546315278
36,LPS_HCA,12.12435136,12.12,829.45,1,1,3,2.574137784
37,VLPS_VHCA,2.436407612,2.44,106.55,0,0,4,1.235471471
38,VLPS_VHCA,2.689590468,2.69,117.62,0,0,4,1.305626458
39,VLPS_VHCA,1.733901215,1.73,75.83,0,0,4,1.004301609
40,LPS_VHCA,6.556470994,6.56,286.73,1,0,4,2.02287119
41,LPS_VHCA,7.076258381,7.08,309.46,1,0,4,2.089391873
42,LPS_VHCA,8.927190144,8.93,390.41,1,0,4,2.295560478
43,VLPS_HCA,2.039485516,2.04,89.19,0,1,4,1.111857515
44,VLPS_HCA,4.321542063,4.32,188.99,0,1,4,1.671473303
45,VLPS_HCA,3.430990734,3.43,150.05,0,1,4,1.488399584
46,LPS_HCA,10.38920238,10.39,454.34,1,1,4,2.432735777
47,LPS_HCA,8.562500023,8.56,374.46,1,1,4,2.257587727
48,LPS_HCA,9.220213801,9.22,403.22,1,1,4,2.324346585
49,VLPS_VHCA,0.784715759,0.78,37.97,0,0,5,0.576613364
50,VLPS_VHCA,2.886419184,2.89,139.68,0,0,5,1.358409158
51,VLPS_VHCA,2.528282044,2.53,122.35,0,0,5,1.261297871
52,LPS_VHCA,6.0127933,6.01,290.97,1,0,5,1.947337701
53,LPS_VHCA,4.968522633,4.97,240.43,1,0,5,1.786746927
54,LPS_VHCA,5.479945564,5.48,265.18,1,0,5,1.86872051
55,VLPS_HCA,2.504648277,2.5,121.2,0,1,5,1.252762968
56,VLPS_HCA,0.233619385,0.23,11.31,0,1,5,0.207014169
57,VLPS_HCA,2.471297673,2.47,119.59,0,1,5,1.244154594
58,LPS_HCA,7.33848991,7.34,355.12,1,1,5,2.121063216
59,LPS_HCA,6.148907405,6.15,297.56,1,1,5,1.967112357
60,LPS_HCA,4.983018001,4.98,241.14,1,1,5,1.788420568
61,VLPS_VHCA,3.03026605,3.03,180.31,0,0,6,1.393766376
62,VLPS_VHCA,1.530220027,1.53,91.06,0,0,6,0.928219303
63,VLPS_VHCA,0.481144499,0.48,28.63,0,0,6,0.392042088
64,LPS_VHCA,5.663085091,5.66,336.98,1,0,6,1.896119485
65,LPS_VHCA,6.147639403,6.15,365.81,1,0,6,1.967112357
66,LPS_VHCA,5.672765464,5.67,337.56,1,0,6,1.89761986
67,VLPS_HCA,1.542401345,1.54,91.78,0,1,6,0.932164081
68,VLPS_HCA,1.418307539,1.42,84.4,0,1,6,0.88376754
69,VLPS_HCA,1.491765675,1.49,88.77,0,1,6,0.91228271
70,LPS_HCA,10.58080218,10.58,629.61,1,1,6,2.449279472
71,LPS_HCA,6.789198186,6.79,403.99,1,1,6,2.05284086
72,LPS_HCA,8.34970919,8.35,496.85,1,1,6,2.235376343
