ID,Treatment,NO,Nvalue,Value,RHCA,PD,Day,log_value
1,VR_VHCA_VPD,1.301782868,1.3,53.72,0,0,1,0.832909123
2,VR_VHCA_VPD,3.217451385,3.22,132.76,0,0,1,1.439835128
3,VR_VHCA_VPD,2.751230813,2.75,113.52,0,0,1,1.32175584
4,PD_VR_VHCA,2.098095502,2.1,86.57,0,1,1,1.131402111
5,PD_VR_VHCA,1.332577002,1.33,54.99,0,1,1,0.845868268
6,PD_VR_VHCA,1.963017225,1.96,81,0,1,1,1.085189268
7,R_HCA_VPD,4.106492855,4.11,169.45,1,0,1,1.631199404
8,R_HCA_VPD,1.65873398,1.66,68.44,1,0,1,0.978326123
9,R_HCA_VPD,4.401156998,4.4,181.6,1,0,1,1.686398954
10,R_HCA_PD,4.673458345,4.67,192.84,1,1,1,1.735189118
11,R_HCA_PD,3.200672485,3.2,132.07,1,1,1,1.435084525
12,R_HCA_PD,2.415466,2.42,99.67,1,1,1,1.229640551
13,VR_VHCA_VPD,2.125135782,2.13,114.53,0,0,2,1.141033005
14,VR_VHCA_VPD,NA,0,0,0,0,2,0
15,VR_VHCA_VPD,1.585945667,1.59,85.47,0,0,2,0.951657876
16,PD_VR_VHCA,2.420444358,2.42,130.44,0,1,2,1.229640551
17,PD_VR_VHCA,1.398182505,1.4,75.35,0,1,2,0.875468737
18,PD_VR_VHCA,1.280573181,1.28,69.01,0,1,2,0.824175443
19,R_HCA_VPD,2.965117159,2.97,159.8,1,0,2,1.378766095
20,R_HCA_VPD,1.916751947,1.92,103.3,1,0,2,1.071583616
21,R_HCA_VPD,9.819134153,9.82,529.18,1,0,2,2.381396273
22,R_HCA_PD,6.195995205,6.2,333.92,1,1,2,1.974081026
23,R_HCA_PD,4.585576379,4.59,247.13,1,1,2,1.720979287
24,R_HCA_PD,3.269595963,3.27,176.21,1,1,2,1.451613827
25,VR_VHCA_VPD,3.062434937,3.06,125.91,0,0,3,1.401182974
26,VR_VHCA_VPD,0.716315666,0.72,29.45,0,0,3,0.542324291
27,VR_VHCA_VPD,3.518139258,3.52,144.64,0,0,3,1.508511994
28,PD_VR_VHCA,2.714582479,2.71,111.61,0,1,3,1.311031877
29,PD_VR_VHCA,2.622620172,2.62,107.82,0,1,3,1.286474026
30,PD_VR_VHCA,2.550326768,2.55,104.85,0,1,3,1.266947603
31,R_HCA_VPD,4.759204835,4.76,195.67,1,0,3,1.750937475
32,R_HCA_VPD,6.391996731,6.39,262.8,1,0,3,2.000127735
33,R_HCA_VPD,6.201299094,6.2,254.96,1,0,3,1.974081026
34,R_HCA_PD,7.76970939,7.77,319.44,1,1,3,2.171336806
35,R_HCA_PD,5.09369167,5.09,209.42,1,1,3,1.806648082
36,R_HCA_PD,5.857423655,5.86,240.82,1,1,3,1.925707442
