ID,Treatment,NO,Nvalue,Value,RHCA,SB,Day,log_value
1,VR_VHCA_VSB,2.747230353,2.75,161.57,0,0,1,1.011600912
2,VR_VHCA_VSB,1.734704164,1.73,102.02,0,0,1,0.548121409
3,VR_VHCA_VSB,0.619002765,0.62,36.41,0,0,1,-0.478035801
4,SB_VR_VHCA,0.865316866,0.87,50.89,0,1,1,-0.139262067
5,SB_VR_VHCA,1.180703489,1.18,69.44,0,1,1,0.165514438
6,SB_VR_VHCA,1.387236853,1.39,81.59,0,1,1,0.329303747
7,R_HCA_VSB,4.541502342,4.54,267.1,1,0,1,1.512927012
8,R_HCA_VSB,4.09407082,4.09,240.78,1,0,1,1.40854497
9,R_HCA_VSB,5.116052637,5.12,300.89,1,0,1,1.633154439
10,R_HCA_SB,11.23734922,11.24,660.9,1,1,1,2.419478844
11,R_HCA_SB,9.785273857,9.79,575.5,1,1,1,2.281361457
12,R_HCA_SB,10.91514989,10.92,641.95,1,1,1,2.39059597
13,VR_VHCA_VSB,3.119827878,3.12,161.98,0,0,2,1.137833002
14,VR_VHCA_VSB,2.045522874,2.05,106.21,0,0,2,0.717839793
15,VR_VHCA_VSB,0.612684726,0.61,31.81,0,0,2,-0.494296322
16,SB_VR_VHCA,1.02574062,1.03,53.26,0,1,2,0.029558802
17,SB_VR_VHCA,1.119462363,1.12,58.12,0,1,2,0.113328685
18,SB_VR_VHCA,1.502248977,1.5,78,0,1,2,0.405465108
19,R_HCA_VSB,4.259191462,4.26,221.14,1,0,2,1.44926916
20,R_HCA_VSB,3.69914727,3.7,192.06,1,0,2,1.30833282
21,R_HCA_VSB,4.38342417,4.38,227.59,1,0,2,1.477048724
22,R_HCA_SB,10.06835143,10.07,522.76,1,1,2,2.309560707
23,R_HCA_SB,8.694753268,8.69,451.44,1,1,2,2.162172939
24,R_HCA_SB,7.100649495,7.1,368.67,1,1,2,1.960094784
25,VR_VHCA_VSB,2.894063035,2.89,147.23,0,0,3,1.061256502
26,VR_VHCA_VSB,2.177378998,2.18,110.77,0,0,3,0.779324877
27,VR_VHCA_VSB,0.82551911,0.83,42,0,0,3,-0.186329578
28,SB_VR_VHCA,0.934060282,0.93,47.52,0,1,3,-0.072570693
29,SB_VR_VHCA,1.289974784,1.29,65.63,0,1,3,0.254642218
30,SB_VR_VHCA,2.199028562,2.2,111.87,0,1,3,0.78845736
31,R_HCA_VSB,3.961450948,3.96,201.53,1,0,3,1.376244025
32,R_HCA_VSB,2.996349458,3,152.44,1,0,3,1.098612289
33,R_HCA_VSB,4.419482604,4.42,224.84,1,0,3,1.486139696
34,R_HCA_SB,14.15433643,14.15,720.08,1,1,3,2.649714624
35,R_HCA_SB,10.67933083,10.68,543.3,1,1,3,2.368372834
36,R_HCA_SB,10.18702764,10.19,518.25,1,1,3,2.321406847
