ID,Treatment,CP,Cvalue,Value,R,HCA,Day,log_value
1,VR_VHCA,0.043289976,0.04,91.27,0,0,1,-3.218875825
2,VR_VHCA,0.047437874,0.05,100.02,0,0,1,-2.995732274
3,VR_VHCA,0.051558382,0.05,108.71,0,0,1,-2.995732274
4,R_VHCA,0.166629703,0.17,351.33,1,0,1,-1.771956842
5,R_VHCA,0.145810775,0.15,307.43,1,0,1,-1.897119985
6,R_VHCA,0.129435511,0.13,272.91,1,0,1,-2.040220829
7,VR_HCA,0.053258531,0.05,112.29,0,1,1,-2.995732274
8,VR_HCA,0.058799787,0.06,123.98,0,1,1,-2.813410717
9,VR_HCA,0.076422272,0.08,161.13,0,1,1,-2.525728644
10,R_HCA,0.160219918,0.16,337.81,1,1,1,-1.832581464
11,R_HCA,0.359612063,0.36,758.22,1,1,1,-1.021651248
12,R_HCA,0.329124969,0.33,693.94,1,1,2,-1.108662625
13,VR_VHCA,0.932900725,0.93,93.84,0,0,2,-0.072570693
14,VR_VHCA,0.726166865,0.73,73.05,0,0,2,-0.314710745
15,VR_VHCA,1.323261481,1.32,133.11,0,0,2,0.277631737
16,R_VHCA,0.70703303,0.71,71.12,1,0,2,-0.342490309
17,R_VHCA,0.752297324,0.75,75.68,1,0,2,-0.287682072
18,R_VHCA,0.705138613,0.71,70.93,1,0,2,-0.342490309
19,VR_HCA,1.13564687,1.14,114.24,0,1,2,0.131028262
20,VR_HCA,1.209418188,1.21,121.66,0,1,2,0.19062036
21,VR_HCA,0.949628192,0.95,95.53,0,1,2,-0.051293294
22,R_HCA,0.589534417,0.59,59.3,1,1,2,-0.527632742
23,R_HCA,0.851582586,0.85,85.66,1,1,2,-0.162518929
24,R_HCA,0.805308615,0.81,81.01,1,1,2,-0.210721031
25,VR_VHCA,0.794991277,0.79,140.53,0,0,3,-0.235722334
26,VR_VHCA,0.398882876,0.4,70.51,0,0,3,-0.916290732
27,VR_VHCA,0.50319586,0.5,88.95,0,0,3,-0.693147181
28,R_VHCA,0.454160948,0.45,80.28,1,0,3,-0.798507696
29,R_VHCA,0.181271118,0.18,32.04,1,0,3,-1.714798428
30,R_VHCA,0.187599276,0.19,33.16,1,0,3,-1.660731207
31,VR_HCA,0.221061261,0.22,39.08,0,1,3,-1.514127733
32,VR_HCA,0.611887617,0.61,108.17,0,1,3,-0.494296322
33,VR_HCA,0.354981886,0.35,62.75,0,1,3,-1.049822124
34,R_HCA,0.134543278,0.13,23.78,1,1,3,-2.040220829
35,R_HCA,0.155302688,0.16,27.45,1,1,3,-1.832581464
36,R_HCA,0.183001662,0.18,32.35,1,1,3,-1.714798428
37,VR_VHCA,0.0298615,0.03,44.99,0,0,4,-3.506557897
38,VR_VHCA,0.08994589,0.09,135.5,0,0,4,-2.407945609
39,VR_VHCA,0.07933478,0.08,119.51,0,0,4,-2.525728644
40,R_VHCA,0.10142645,0.1,152.8,1,0,4,-2.302585093
41,R_VHCA,0.13292269,0.13,200.24,1,0,4,-2.040220829
42,R_VHCA,0.15640311,0.16,135.62,1,0,4,-1.832581464
43,VR_HCA,0.0736447,0.07,110.94,0,1,4,-2.659260037
44,VR_HCA,0.08404364,0.08,126.61,0,1,4,-2.525728644
45,VR_HCA,0.08956941,0.09,134.93,0,1,4,-2.407945609
46,R_HCA,0.12261374,0.12,184.71,1,1,4,-2.120263536
47,R_HCA,0.20696497,0.21,311.78,1,1,4,-1.560647748
48,R_HCA,0.1755043,0.18,264.39,1,1,4,-1.714798428
49,VR_VHCA,0.05637557,0.06,100.43,0,0,5,-2.813410717
50,VR_VHCA,0.059532663,0.06,106.05,0,0,5,-2.813410717
51,VR_VHCA,0.05249515,0.05,93.52,0,0,5,-2.995732274
52,R_VHCA,0.079313383,0.08,141.29,1,0,5,-2.525728644
53,R_VHCA,0.060780367,0.06,108.28,1,0,5,-2.813410717
54,R_VHCA,0.071521049,0.07,127.41,1,0,5,-2.659260037
55,VR_HCA,0.080779119,0.08,143.9,0,1,5,-2.525728644
56,VR_HCA,0.073880422,0.07,131.61,0,1,5,-2.659260037
57,VR_HCA,0.087313501,0.09,155.54,0,1,5,-2.407945609
58,R_HCA,0.088065993,0.09,156.88,1,1,5,-2.407945609
59,R_HCA,0.128504797,0.13,228.92,1,1,5,-2.040220829
60,R_HCA,0.115847942,0.12,206.38,1,1,5,-2.120263536
