ID,Treatment,CP,Cvalue,Value,RHCA,PD,Day,log_value
1,VR_VHCA_VPD,0.008506332,0.01,61.11,0,0,1,-4.605170186
2,VR_VHCA_VPD,0.015401894,0.02,110.65,0,0,1,-3.912023005
3,VR_VHCA_VPD,0.017851927,0.02,128.25,0,0,1,-3.912023005
4,PD_VR_VHCA,0.015927721,0.02,114.42,0,1,1,-3.912023005
5,PD_VR_VHCA,0.019468211,0.02,139.86,0,1,1,-3.912023005
6,PD_VR_VHCA,0.01313878,0.01,94.39,0,1,1,-4.605170186
7,R_HCA_VPD,0.068486075,0.07,492,1,0,1,-2.659260037
8,R_HCA_VPD,0.050382646,0.05,361.94,1,0,1,-2.995732274
9,R_HCA_VPD,0.072439062,0.07,520.39,1,0,1,-2.659260037
10,R_HCA_PD,0.046159828,0.05,331.61,1,1,1,-2.995732274
11,R_HCA_PD,0.044369925,0.04,318.75,1,1,1,-3.218875825
12,R_HCA_PD,0.055768165,0.06,400.63,1,1,1,-2.813410717
13,VR_VHCA_VPD,0.027889212,0.03,91.9,0,0,2,-3.506557897
14,VR_VHCA_VPD,0.025077657,0.03,82.63,0,0,2,-3.506557897
15,VR_VHCA_VPD,0.038077805,0.04,125.47,0,0,2,-3.218875825
16,PD_VR_VHCA,0.033594845,0.03,110.7,0,1,2,-3.506557897
17,PD_VR_VHCA,0.038395401,0.04,126.52,0,1,2,-3.218875825
18,PD_VR_VHCA,0.04145952,0.04,136.61,0,1,2,-3.218875825
19,R_HCA_VPD,0.171718935,0.17,565.83,1,0,2,-1.771956842
20,R_HCA_VPD,0.151965432,0.15,500.74,1,0,2,-1.897119985
21,R_HCA_VPD,0.204881074,0.2,675.1,1,0,2,-1.609437912
22,R_HCA_PD,0.25831015,0.26,851.15,1,1,2,-1.347073648
23,R_HCA_PD,0.293699957,0.29,967.77,1,1,2,-1.237874356
24,R_HCA_PD,0.226346598,0.23,745.83,1,1,2,-1.46967597
25,VR_VHCA_VPD,0.017124821,0.02,70.7,0,0,3,-3.912023005
26,VR_VHCA_VPD,0.027829949,0.03,114.9,0,0,3,-3.506557897
27,VR_VHCA_VPD,0.027705826,0.03,114.39,0,0,3,-3.506557897
28,PD_VR_VHCA,0.029174415,0.03,120.45,0,1,3,-3.506557897
29,PD_VR_VHCA,0.020731688,0.02,85.6,0,1,3,-3.912023005
30,PD_VR_VHCA,0.02552801,0.03,105.4,0,1,3,-3.506557897
31,R_HCA_VPD,0.059670542,0.06,246.37,1,0,3,-2.813410717
32,R_HCA_VPD,0.055945348,0.06,230.99,1,0,3,-2.813410717
33,R_HCA_VPD,0.044137313,0.04,182.23,1,0,3,-3.218875825
34,R_HCA_PD,0.038369699,0.04,158.42,1,1,3,-3.218875825
35,R_HCA_PD,0.024846328,0.02,102.59,1,1,3,-3.912023005
36,R_HCA_PD,0.038737824,0.04,159.94,1,1,3,-3.218875825
